aTV_x aTV_y aTV_z / Xrot Yrot Zrot / X2 Y2 Z2
0.009500 -0.020750 -0.974750 / -2.216825 1.241449 2.716553 / -72.345795 40.025105 100.799950
0.009500 -0.020750 -0.974750 / -2.251600 1.261599 2.742403 / -74.614784 41.296780 103.555275
0.009500 -0.020750 -0.974750 / -2.286375 1.281749 2.768253 / -76.918549 42.588604 106.336456
0.009500 -0.020750 -0.974750 / -2.321150 1.301899 2.794103 / -79.257088 43.900578 109.143486
0.009500 -0.020750 -0.974750 / -2.355925 1.322049 2.819953 / -81.630402 45.232700 111.976364
0.009500 -0.020750 -0.974750 / -2.390700 1.342199 2.845803 / -84.038490 46.584972 114.835091
0.009500 -0.020750 -0.974750 / -2.425475 1.362349 2.871653 / -86.481354 47.957397 117.719666
0.009500 -0.020750 -0.974750 / -2.460250 1.382499 2.897503 / -88.958992 49.349972 120.630096
0.009500 -0.020750 -0.974750 / -2.495025 1.402649 2.923353 / -91.471405 50.762695 123.566376
0.009500 -0.020750 -0.974750 / -2.529800 1.422799 2.949203 / -94.018593 52.195568 126.528503
0.009500 -0.020750 -0.974750 / -2.564575 1.442949 2.975053 / -96.600555 53.648590 129.516479
0.009500 -0.020750 -0.974750 / -2.599350 1.463099 3.000903 / -99.217293 55.121765 132.530304
0.009500 -0.020750 -0.974750 / -2.634125 1.483248 3.026753 / -101.868805 56.615089 135.569977
0.009500 -0.020750 -0.974750 / -2.668900 1.503398 3.052603 / -104.555092 58.128563 138.635498
0.009500 -0.020750 -0.974750 / -2.703675 1.523548 3.078454 / -107.276154 59.662186 141.726883
0.009500 -0.020750 -0.974750 / -2.738450 1.543698 3.104304 / -110.031990 61.215958 144.844116
0.009500 -0.020750 -0.974750 / -2.773225 1.563848 3.130154 / -112.822601 62.789883 147.987198
0.009500 -0.020750 -0.974750 / -2.808000 1.583998 3.156004 / -115.647987 64.383957 151.156128
0.018000 -0.006750 -0.980500 / -2.840325 1.606523 3.169879 / -118.504471 66.001740 154.332947
0.018000 -0.006750 -0.980500 / -2.872650 1.629048 3.183754 / -121.393280 67.642052 157.523636
0.018000 -0.006750 -0.980500 / -2.904975 1.651573 3.197629 / -124.314415 69.304886 160.728195
0.018000 -0.006750 -0.980500 / -2.937300 1.674098 3.211504 / -127.267876 70.990250 163.946640
0.018000 -0.006750 -0.980500 / -2.969625 1.696623 3.225379 / -130.253662 72.698135 167.178955
0.018000 -0.006750 -0.980500 / -3.001950 1.719148 3.239254 / -133.271774 74.428543 170.425140
0.018000 -0.006750 -0.980500 / -3.034275 1.741673 3.253129 / -136.322205 76.181480 173.685211
0.018000 -0.006750 -0.980500 / -3.066600 1.764198 3.267004 / -139.404968 77.956940 176.959152
0.018000 -0.006750 -0.980500 / -3.098925 1.786723 3.280879 / -142.520050 79.754929 180.246964
0.018000 -0.006750 -0.980500 / -3.131250 1.809248 3.294754 / -145.667465 81.575439 183.548660
0.018000 -0.006750 -0.980500 / -3.163575 1.831773 3.308629 / -148.847198 83.418472 186.864227
0.018000 -0.006750 -0.980500 / -3.195900 1.854298 3.322504 / -152.059265 85.284035 190.193665
0.018000 -0.006750 -0.980500 / -3.228225 1.876823 3.336379 / -155.303650 87.172119 193.536987
0.018000 -0.006750 -0.980500 / -3.260550 1.899348 3.350254 / -158.580368 89.082726 196.894180
