aTV_x aTV_y aTV_z / Xrot Yrot Zrot / X2 Y2 Z2
0.036250 0.012750 -0.994250 / -6.358691 9.206831 4.072109 / -3673.467041 4210.559082 2046.113159
0.036250 0.012750 -0.994250 / -6.367341 9.212906 4.071559 / -3679.838623 4219.774902 2050.184326
0.036250 0.012750 -0.994250 / -6.375990 9.218981 4.071009 / -3686.218994 4228.997070 2054.255127
0.126000 -0.011250 -1.003250 / -6.368216 9.221156 4.056559 / -3692.583252 4238.219238 2058.304443
0.126000 -0.011250 -1.003250 / -6.360441 9.223331 4.042109 / -3698.939697 4247.443848 2062.339355
0.126000 -0.011250 -1.003250 / -6.352666 9.225507 4.027659 / -3705.288574 4256.670410 2066.359863
0.126000 -0.011250 -1.003250 / -6.344891 9.227682 4.013209 / -3711.629639 4265.899414 2070.365967
0.126000 -0.011250 -1.003250 / -6.337116 9.229857 3.998759 / -3717.962891 4275.130371 2074.357422
0.126000 -0.011250 -1.003250 / -6.329341 9.232033 3.984309 / -3724.288330 4284.363281 2078.334473
0.126000 -0.011250 -1.003250 / -6.321567 9.234208 3.969859 / -3730.605957 4293.598633 2082.297119
0.126000 -0.011250 -1.003250 / -6.313792 9.236383 3.955409 / -3736.915771 4302.835938 2086.245361
0.126000 -0.011250 -1.003250 / -6.306017 9.238559 3.940958 / -3743.218018 4312.075684 2090.179199
0.126000 -0.011250 -1.003250 / -6.298242 9.240734 3.926508 / -3749.512451 4321.317383 2094.098389
0.126000 -0.011250 -1.003250 / -6.290467 9.242909 3.912058 / -3755.799072 4330.561523 2098.003174
0.126000 -0.011250 -1.003250 / -6.282692 9.245085 3.897608 / -3762.077881 4339.807617 2101.893555
0.126000 -0.011250 -1.003250 / -6.274918 9.247260 3.883158 / -3768.348877 4349.056152 2105.769531
0.126000 -0.011250 -1.003250 / -6.267143 9.249435 3.868708 / -3774.612061 4358.306641 2109.631104
0.126000 -0.011250 -1.003250 / -6.259368 9.251611 3.854258 / -3780.867432 4367.559570 2113.478027
0.126000 -0.011250 -1.003250 / -6.251593 9.253786 3.839808 / -3787.115234 4376.814453 2117.310547
0.126000 -0.011250 -1.003250 / -6.243818 9.255961 3.825358 / -3793.355225 4386.071289 2121.128662
0.126000 -0.011250 -1.003250 / -6.236043 9.258137 3.810908 / -3799.587402 4395.330566 2124.932373
0.126000 -0.011250 -1.003250 / -6.228269 9.260312 3.796458 / -3805.811768 4404.591797 2128.721680
0.126000 -0.011250 -1.003250 / -6.220494 9.262487 3.782008 / -3812.028320 4413.855469 2132.496582
0.126000 -0.011250 -1.003250 / -6.212719 9.264663 3.767558 / -3818.237061 4423.121094 2136.256836
0.126000 -0.011250 -1.003250 / -6.204944 9.266838 3.753108 / -3824.438232 4432.389160 2140.002686
0.126000 -0.011250 -1.003250 / -6.197169 9.269013 3.738657 / -3830.631592 4441.659180 2143.734131
0.126000 -0.011250 -1.003250 / -6.189394 9.271189 3.724207 / -3836.817139 4450.931641 2147.451172
0.126000 -0.011250 -1.003250 / -6.181620 9.273364 3.709757 / -3842.994873 4460.206055 2151.153809
0.126000 -0.011250 -1.003250 / -6.173845 9.275539 3.695307 / -3849.164795 4469.482910 2154.841797
0.126000 -0.011250 -1.003250 / -6.166070 9.277715 3.680857 / -3855.326904 4478.761719 2158.515381
0.126000 -0.011250 -1.003250 / -6.158295 9.279890 3.666407 / -3861.481201 4488.042480 2162.174561
0.126000 -0.011250 -1.003250 / -6.150520 9.282065 3.651957 / -3867.627930 4497.325684 2165.819336
0.126000 -0.011250 -1.003250 / -6.142745 9.284241 3.637507 / -3873.766846 4506.610840 2169.449707
0.126000 -0.011250 -1.003250 / -6.134971 9.286416 3.623057 / -3879.897949 4515.898438 2173.065430
0.126000 -0.011250 -1.003250 / -6.127196 9.288591 3.608607 / -3886.021240 4525.187988 2176.666748
0.126000 -0.011250 -1.003250 / -6.119421 9.290767 3.594157 / -3892.136719 4534.479980 2180.253662
0.126000 -0.011250 -1.003250 / -6.111646 9.292942 3.579707 / -3898.244385 4543.773926 2183.826172
0.126000 -0.011250 -1.003250 / -6.103871 9.295117 3.565257 / -3904.344482 4553.070312 2187.384277
0.126000 -0.011250 -1.003250 / -6.096097 9.297293 3.550807 / -3910.436768 4562.368652 2190.927979
0.126000 -0.011250 -1.003250 / -6.088322 9.299468 3.536356 / -3916.521240 4571.669434 2194.457031
0.126000 -0.011250 -1.003250 / -6.080547 9.301643 3.521906 / -3922.597900 4580.972168 2197.971680
0.126000 -0.011250 -1.003250 / -6.072772 9.303819 3.507456 / -3928.666748 4590.276855 2201.471924
0.126000 -0.011250 -1.003250 / -6.064997 9.305994 3.493006 / -3934.727783 4599.583984 2204.957764
0.124750 -0.023250 -0.982000 / -6.068147 9.310244 3.492806 / -3940.797607 4608.896484 2208.450439
0.124750 -0.023250 -0.982000 / -6.071297 9.314493 3.492606 / -3946.870361 4618.212891 2211.942871
0.124750 -0.023250 -0.982000 / -6.074447 9.318743 3.492406 / -3952.946289 4627.533691 2215.435059
0.124750 -0.023250 -0.982000 / -6.077597 9.322992 3.492206 / -3959.025391 4636.858887 2218.927246
0.124750 -0.023250 -0.982000 / -6.080747 9.327242 3.492006 / -3965.107666 4646.188477 2222.419189
0.124750 -0.023250 -0.982000 / -6.083897 9.331491 3.491806 / -3971.193115 4655.521973 2225.910889
0.124750 -0.023250 -0.982000 / -6.087047 9.335741 3.491606 / -3977.281738 4664.859863 2229.402344
0.124750 -0.023250 -0.982000 / -6.090197 9.339991 3.491406 / -3983.373535 4674.202148 2232.893555
0.124750 -0.023250 -0.982000 / -6.093347 9.344240 3.491206 / -3989.468506 4683.548340 2236.384766
0.124750 -0.023250 -0.982000 / -6.096497 9.348490 3.491006 / -3995.566650 4692.898926 2239.875732
0.124750 -0.023250 -0.982000 / -6.099647 9.352739 3.490806 / -4001.667969 4702.253906 2243.366455
0.124750 -0.023250 -0.982000 / -6.102797 9.356989 3.490606 / -4007.772461 4711.612793 2246.856934
0.124750 -0.023250 -0.982000 / -6.105947 9.361238 3.490406 / -4013.879883 4720.976074 2250.347168
0.124750 -0.023250 -0.982000 / -6.109097 9.365488 3.490206 / -4019.990479 4730.343750 2253.837158
0.124750 -0.023250 -0.982000 / -6.112247 9.369738 3.490006 / -4026.104248 4739.715820 2257.327148
0.124750 -0.023250 -0.982000 / -6.115397 9.373987 3.489806 / -4032.221191 4749.091797 2260.816895
0.124750 -0.023250 -0.982000 / -6.118547 9.378237 3.489606 / -4038.341309 4758.472168 2264.306396
0.124750 -0.023250 -0.982000 / -6.121697 9.382486 3.489406 / -4044.464600 4767.856934 2267.795654
0.124750 -0.023250 -0.982000 / -6.124847 9.386736 3.489206 / -4050.591064 4777.245605 2271.284668
0.124750 -0.023250 -0.982000 / -6.127997 9.390985 3.489006 / -4056.720703 4786.638672 2274.773682
0.124750 -0.023250 -0.982000 / -6.131147 9.395235 3.488806 / -4062.853516 4796.036133 2278.262451
0.124750 -0.023250 -0.982000 / -6.134297 9.399485 3.488605 / -4068.989502 4805.437500 2281.750977
0.124750 -0.023250 -0.982000 / -6.137447 9.403734 3.488405 / -4075.128418 4814.843262 2285.239258
0.124750 -0.023250 -0.982000 / -6.140597 9.407984 3.488205 / -4081.270508 4824.253418 2288.727295
0.124750 -0.023250 -0.982000 / -6.143747 9.412233 3.488005 / -4087.415771 4833.667969 2292.215088
0.124750 -0.023250 -0.982000 / -6.146897 9.416483 3.487805 / -4093.564209 4843.086426 2295.702881
0.124750 -0.023250 -0.982000 / -6.150047 9.420732 3.487605 / -4099.715820 4852.509277 2299.190430
0.124750 -0.023250 -0.982000 / -6.153197 9.424982 3.487405 / -4105.870605 4861.936523 2302.677734
0.124750 -0.023250 -0.982000 / -6.156347 9.429232 3.487205 / -4112.028320 4871.367676 2306.164795
0.124750 -0.023250 -0.982000 / -6.159497 9.433481 3.487005 / -4118.189453 4880.803223 2309.651611
0.124750 -0.023250 -0.982000 / -6.162647 9.437731 3.486805 / -4124.353516 4890.243164 2313.138428
0.124750 -0.023250 -0.982000 / -6.165797 9.441980 3.486605 / -4130.520996 4899.687500 2316.625000
0.124750 -0.023250 -0.982000 / -6.168947 9.446230 3.486405 / -4136.691406 4909.135742 2320.111328
0.124750 -0.023250 -0.982000 / -6.172097 9.450480 3.486205 / -4142.865234 4918.588379 2323.597412
0.124750 -0.023250 -0.982000 / -6.175247 9.454729 3.486005 / -4149.041992 4928.045410 2327.083252
0.124750 -0.023250 -0.982000 / -6.178397 9.458979 3.485805 / -4155.222168 4937.506348 2330.568848
0.124750 -0.023250 -0.982000 / -6.181547 9.463228 3.485605 / -4161.405273 4946.971680 2334.054443
0.124750 -0.023250 -0.982000 / -6.184697 9.467478 3.485405 / -4167.591309 4956.441406 2337.539795
0.124750 -0.023250 -0.982000 / -6.187847 9.471727 3.485205 / -4173.780762 4965.915039 2341.024902
0.124750 -0.023250 -0.982000 / -6.190997 9.475977 3.485005 / -4179.973145 4975.393066 2344.509766
0.160750 0.022000 -0.995250 / -6.177822 9.491877 3.474480 / -4186.144531 4984.893066 2347.979004
0.160750 0.022000 -0.995250 / -6.164647 9.507776 3.463955 / -4192.302734 4994.408691 2351.437744
0.160750 0.022000 -0.995250 / -6.151472 9.523676 3.453430 / -4198.447754 5003.940430 2354.885986
0.160750 0.022000 -0.995250 / -6.138297 9.539576 3.442905 / -4204.579590 5013.487793 2358.323730
0.160750 0.022000 -0.995250 / -6.125122 9.555475 3.432380 / -4210.698242 5023.051270 2361.750732
0.160750 0.022000 -0.995250 / -6.111947 9.571375 3.421855 / -4216.803711 5032.630371 2365.167236
0.160750 0.022000 -0.995250 / -6.098772 9.587275 3.411330 / -4222.895996 5042.225586 2368.573242
0.160750 0.022000 -0.995250 / -6.085597 9.603174 3.400805 / -4228.975098 5051.836914 2371.968750
0.160750 0.022000 -0.995250 / -6.072422 9.619074 3.390280 / -4235.041016 5061.463867 2375.353760
0.160750 0.022000 -0.995250 / -6.059247 9.634974 3.379755 / -4241.093750 5071.106934 2378.728271
0.160750 0.022000 -0.995250 / -6.046072 9.650873 3.369230 / -4247.133301 5080.765625 2382.092285
0.160750 0.022000 -0.995250 / -6.032897 9.666773 3.358705 / -4253.159668 5090.440430 2385.445801
0.160750 0.022000 -0.995250 / -6.019722 9.682673 3.348180 / -4259.172852 5100.130859 2388.788818
0.160750 0.022000 -0.995250 / -6.006546 9.698572 3.337655 / -4265.172852 5109.837402 2392.121094
0.160750 0.022000 -0.995250 / -5.993371 9.714472 3.327130 / -4271.159668 5119.560059 2395.442871
0.160750 0.022000 -0.995250 / -5.980196 9.730371 3.316605 / -4277.133301 5129.298340 2398.754150
0.160750 0.022000 -0.995250 / -5.967021 9.746271 3.306080 / -4283.093750 5139.052734 2402.054932
0.160750 0.022000 -0.995250 / -5.953846 9.762171 3.295555 / -4289.041016 5148.822754 2405.345215
0.160750 0.022000 -0.995250 / -5.940671 9.778070 3.285030 / -4294.975098 5158.608887 2408.625000
0.160750 0.022000 -0.995250 / -5.927496 9.793970 3.274505 / -4300.895996 5168.410645 2411.894287
0.160750 0.022000 -0.995250 / -5.914321 9.809870 3.263980 / -4306.803711 5178.228516 2415.153076
0.160750 0.022000 -0.995250 / -5.901146 9.825769 3.253455 / -4312.698242 5188.062012 2418.401367
0.160750 0.022000 -0.995250 / -5.887971 9.841669 3.242930 / -4318.579590 5197.911621 2421.638916
0.160750 0.022000 -0.995250 / -5.874796 9.857569 3.232405 / -4324.447754 5207.777344 2424.865967
0.160750 0.022000 -0.995250 / -5.861621 9.873468 3.221880 / -4330.302734 5217.658691 2428.082520
0.160750 0.022000 -0.995250 / -5.848446 9.889368 3.211355 / -4336.144531 5227.556152 2431.288574
0.160750 0.022000 -0.995250 / -5.835271 9.905268 3.200830 / -4341.973145 5237.469238 2434.484131
0.160750 0.022000 -0.995250 / -5.822096 9.921167 3.190305 / -4347.788574 5247.398438 2437.669189
0.160750 0.022000 -0.995250 / -5.808921 9.937067 3.179780 / -4353.590820 5257.343262 2440.843750
0.160750 0.022000 -0.995250 / -5.795746 9.952967 3.169255 / -4359.379883 5267.304199 2444.007812
0.160750 0.022000 -0.995250 / -5.782571 9.968866 3.158730 / -4365.155762 5277.281250 2447.161377
0.160750 0.022000 -0.995250 / -5.769396 9.984766 3.148205 / -4370.918457 5287.273926 2450.304199
0.160750 0.022000 -0.995250 / -5.756221 10.000666 3.137680 / -4376.667969 5297.282715 2453.436523
0.160750 0.022000 -0.995250 / -5.743046 10.016565 3.127155 / -4382.404297 5307.307129 2456.558350
0.160750 0.022000 -0.995250 / -5.729871 10.032465 3.116630 / -4388.127441 5317.347656 2459.669678
0.160750 0.022000 -0.995250 / -5.716696 10.048365 3.106105 / -4393.837402 5327.403809 2462.770508
0.160750 0.022000 -0.995250 / -5.703521 10.064264 3.095580 / -4399.534180 5337.476074 2465.860840
0.160750 0.022000 -0.995250 / -5.690346 10.080164 3.085055 / -4405.217773 5347.563965 2468.940674
0.160750 0.022000 -0.995250 / -5.677171 10.096064 3.074530 / -4410.888184 5357.667969 2472.010010
0.160750 0.022000 -0.995250 / -5.663996 10.111963 3.064005 / -4416.545410 5367.788086 2475.068848
0.121000 0.021500 -0.990500 / -5.660171 10.128163 3.058480 / -4422.203613 5377.924316 2478.124512
0.121000 0.021500 -0.990500 / -5.656346 10.144363 3.052955 / -4427.857910 5388.076660 2481.174805
0.121000 0.021500 -0.990500 / -5.652521 10.160563 3.047430 / -4433.508301 5398.245117 2484.219482
0.121000 0.021500 -0.990500 / -5.648695 10.176764 3.041905 / -4439.155273 5408.430176 2487.258545
0.121000 0.021500 -0.990500 / -5.644870 10.192964 3.036380 / -4444.798340 5418.631348 2490.292236
0.121000 0.021500 -0.990500 / -5.641045 10.209164 3.030855 / -4450.437500 5428.848633 2493.320312
0.121000 0.021500 -0.990500 / -5.637220 10.225364 3.025330 / -4456.072754 5439.082031 2496.342773
0.121000 0.021500 -0.990500 / -5.633395 10.241564 3.019804 / -4461.704102 5449.331543 2499.359863
0.121000 0.021500 -0.990500 / -5.629570 10.257764 3.014279 / -4467.331543 5459.597168 2502.371338
0.121000 0.021500 -0.990500 / -5.625744 10.273964 3.008754 / -4472.955566 5469.879395 2505.377441
0.121000 0.021500 -0.990500 / -5.621919 10.290164 3.003229 / -4478.575684 5480.177734 2508.377930
0.121000 0.021500 -0.990500 / -5.618094 10.306364 2.997704 / -4484.191895 5490.492188 2511.372803
0.121000 0.021500 -0.990500 / -5.614269 10.322564 2.992179 / -4489.804199 5500.822754 2514.362305
0.121000 0.021500 -0.990500 / -5.610444 10.338764 2.986654 / -4495.412598 5511.169434 2517.346191
0.121000 0.021500 -0.990500 / -5.606618 10.354964 2.981129 / -4501.017090 5521.532715 2520.324463
0.121000 0.021500 -0.990500 / -5.602793 10.371164 2.975604 / -4506.618164 5531.912109 2523.297363
0.121000 0.021500 -0.990500 / -5.598968 10.387364 2.970078 / -4512.215332 5542.307617 2526.264648
0.121000 0.021500 -0.990500 / -5.595143 10.403564 2.964553 / -4517.808594 5552.719238 2529.226318
0.121000 0.021500 -0.990500 / -5.591318 10.419765 2.959028 / -4523.397949 5563.146973 2532.182617
0.121000 0.021500 -0.990500 / -5.587492 10.435965 2.953503 / -4528.983398 5573.590820 2535.133301
0.121000 0.021500 -0.990500 / -5.583667 10.452165 2.947978 / -4534.564941 5584.051270 2538.078613
0.121000 0.021500 -0.990500 / -5.579842 10.468365 2.942453 / -4540.143066 5594.527832 2541.018311
0.121000 0.021500 -0.990500 / -5.576017 10.484565 2.936928 / -4545.717285 5605.020508 2543.952393
0.121000 0.021500 -0.990500 / -5.572192 10.500765 2.931403 / -4551.287598 5615.529297 2546.881104
0.121000 0.021500 -0.990500 / -5.568367 10.516965 2.925878 / -4556.854004 5626.054199 2549.804199
0.121000 0.021500 -0.990500 / -5.564541 10.533165 2.920352 / -4562.416504 5636.595703 2552.721680
0.121000 0.021500 -0.990500 / -5.560716 10.549365 2.914827 / -4567.975098 5647.153320 2555.633789
0.121000 0.021500 -0.990500 / -5.556891 10.565565 2.909302 / -4573.530273 5657.727051 2558.540283
0.121000 0.021500 -0.990500 / -5.553066 10.581765 2.903777 / -4579.081543 5668.316895 2561.441406
0.121000 0.021500 -0.990500 / -5.549241 10.597965 2.898252 / -4584.628906 5678.922852 2564.336914
0.121000 0.021500 -0.990500 / -5.545415 10.614165 2.892727 / -4590.172363 5689.544922 2567.226807
0.121000 0.021500 -0.990500 / -5.541590 10.630365 2.887202 / -4595.711914 5700.183594 2570.111328
0.121000 0.021500 -0.990500 / -5.537765 10.646565 2.881677 / -4601.247559 5710.838379 2572.990234
0.121000 0.021500 -0.990500 / -5.533940 10.662766 2.876152 / -4606.779785 5721.509277 2575.863525
0.121000 0.021500 -0.990500 / -5.530115 10.678966 2.870626 / -4612.308105 5732.196289 2578.731445
0.121000 0.021500 -0.990500 / -5.526289 10.695166 2.865101 / -4617.832520 5742.899414 2581.593750
0.121000 0.021500 -0.990500 / -5.522464 10.711366 2.859576 / -4623.353027 5753.618652 2584.450684
0.121000 0.021500 -0.990500 / -5.518639 10.727566 2.854051 / -4628.869629 5764.354492 2587.302002
0.121000 0.021500 -0.990500 / -5.514814 10.743766 2.848526 / -4634.382324 5775.106445 2590.147705
0.121000 0.021500 -0.990500 / -5.510989 10.759966 2.843001 / -4639.891602 5785.874512 2592.988037
0.092750 0.019250 -0.989500 / -5.520939 10.777441 2.842176 / -4645.417480 5796.660645 2595.829834
0.092750 0.019250 -0.989500 / -5.530889 10.794916 2.841351 / -4650.953125 5807.464355 2598.670654
0.092750 0.019250 -0.989500 / -5.540839 10.812391 2.840526 / -4656.499023 5818.285645 2601.510742
0.092750 0.019250 -0.989500 / -5.550789 10.829866 2.839701 / -4662.054688 5829.124023 2604.350098
0.092750 0.019250 -0.989500 / -5.560740 10.847342 2.838876 / -4667.620605 5839.979980 2607.188477
0.092750 0.019250 -0.989500 / -5.570690 10.864817 2.838051 / -4673.196289 5850.853516 2610.026123
0.092750 0.019250 -0.989500 / -5.580640 10.882292 2.837226 / -4678.781738 5861.744629 2612.863037
0.092750 0.019250 -0.989500 / -5.590590 10.899767 2.836401 / -4684.377441 5872.653320 2615.698975
0.092750 0.019250 -0.989500 / -5.600540 10.917242 2.835577 / -4689.982910 5883.579102 2618.534180
0.092750 0.019250 -0.989500 / -5.610490 10.934717 2.834752 / -4695.598145 5894.522461 2621.368408
0.092750 0.019250 -0.989500 / -5.620440 10.952192 2.833927 / -4701.223633 5905.483398 2624.201904
0.092750 0.019250 -0.989500 / -5.630391 10.969667 2.833102 / -4706.858887 5916.461914 2627.034668
0.092750 0.019250 -0.989500 / -5.640341 10.987143 2.832277 / -4712.504395 5927.458008 2629.866455
0.092750 0.019250 -0.989500 / -5.650291 11.004618 2.831452 / -4718.159668 5938.471191 2632.697510
0.092750 0.019250 -0.989500 / -5.660241 11.022093 2.830627 / -4723.824707 5949.501953 2635.527832
0.092750 0.019250 -0.989500 / -5.670191 11.039568 2.829802 / -4729.500000 5960.550293 2638.357178
0.092750 0.019250 -0.989500 / -5.680141 11.057043 2.828977 / -4735.185059 5971.616211 2641.185791
0.092750 0.019250 -0.989500 / -5.690092 11.074518 2.828152 / -4740.879883 5982.699707 2644.013428
0.092750 0.019250 -0.989500 / -5.700042 11.091993 2.827327 / -4746.584961 5993.800293 2646.840332
0.092750 0.019250 -0.989500 / -5.709992 11.109468 2.826502 / -4752.299805 6004.918457 2649.666504
0.092750 0.019250 -0.989500 / -5.719942 11.126944 2.825677 / -4758.024902 6016.054199 2652.491699
0.092750 0.019250 -0.989500 / -5.729892 11.144419 2.824852 / -4763.759766 6027.207520 2655.316162
0.092750 0.019250 -0.989500 / -5.739842 11.161894 2.824028 / -4769.504395 6038.377930 2658.139893
0.092750 0.019250 -0.989500 / -5.749793 11.179369 2.823203 / -4775.259277 6049.565918 2660.962646
0.092750 0.019250 -0.989500 / -5.759743 11.196844 2.822378 / -4781.023926 6060.771484 2663.784668
0.092750 0.019250 -0.989500 / -5.769693 11.214319 2.821553 / -4786.798828 6071.994629 2666.605713
0.092750 0.019250 -0.989500 / -5.779643 11.231794 2.820728 / -4792.583496 6083.235352 2669.426025
0.092750 0.019250 -0.989500 / -5.789593 11.249269 2.819903 / -4798.377930 6094.493164 2672.245605
0.092750 0.019250 -0.989500 / -5.799543 11.266745 2.819078 / -4804.182617 6105.768555 2675.064209
0.092750 0.019250 -0.989500 / -5.809494 11.284220 2.818253 / -4809.997070 6117.061523 2677.882080
0.092750 0.019250 -0.989500 / -5.819444 11.301695 2.817428 / -4815.821289 6128.372070 2680.698975
0.092750 0.019250 -0.989500 / -5.829394 11.319170 2.816603 / -4821.655762 6139.700195 2683.515137
0.092750 0.019250 -0.989500 / -5.839344 11.336645 2.815778 / -4827.500000 6151.045410 2686.330566
0.092750 0.019250 -0.989500 / -5.849294 11.354120 2.814953 / -4833.354492 6162.408203 2689.145020
0.092750 0.019250 -0.989500 / -5.859244 11.371595 2.814128 / -4839.218750 6173.788574 2691.958740
0.092750 0.019250 -0.989500 / -5.869195 11.389071 2.813303 / -4845.092773 6185.186523 2694.771729
0.092750 0.019250 -0.989500 / -5.879145 11.406546 2.812479 / -4850.977051 6196.601562 2697.583740
0.092750 0.019250 -0.989500 / -5.889095 11.424021 2.811654 / -4856.871094 6208.034180 2700.395020
0.092750 0.019250 -0.989500 / -5.899045 11.441496 2.810829 / -4862.774902 6219.484375 2703.205322
0.092750 0.019250 -0.989500 / -5.908995 11.458971 2.810004 / -4868.688965 6230.952148 2706.014893
0.103500 0.018750 -0.982000 / -5.913395 11.471321 2.815054 / -4874.604492 6242.429688 2708.832520
0.103500 0.018750 -0.982000 / -5.917795 11.483671 2.820104 / -4880.524414 6253.919434 2711.655029
0.103500 0.018750 -0.982000 / -5.922194 11.496021 2.825154 / -4886.448730 6265.421387 2714.482666
0.103500 0.018750 -0.982000 / -5.926594 11.508371 2.830204 / -4892.377441 6276.936035 2717.315430
0.103500 0.018750 -0.982000 / -5.930994 11.520721 2.835253 / -4898.310547 6288.462891 2720.153320
0.103500 0.018750 -0.982000 / -5.935394 11.533072 2.840303 / -4904.248047 6300.001953 2722.996094
0.103500 0.018750 -0.982000 / -5.939794 11.545422 2.845353 / -4910.189941 6311.553711 2725.843994
0.103500 0.018750 -0.982000 / -5.944193 11.557772 2.850403 / -4916.136230 6323.117676 2728.697021
0.103500 0.018750 -0.982000 / -5.948593 11.570122 2.855453 / -4922.086914 6334.693848 2731.554932
0.103500 0.018750 -0.982000 / -5.952993 11.582472 2.860503 / -4928.041992 6346.282715 2734.417969
0.103500 0.018750 -0.982000 / -5.957393 11.594822 2.865553 / -4934.001465 6357.883789 2737.286133
0.103500 0.018750 -0.982000 / -5.961792 11.607172 2.870603 / -4939.965332 6369.497070 2740.159180
0.103500 0.018750 -0.982000 / -5.966192 11.619522 2.875653 / -4945.933594 6381.122559 2743.037354
0.103500 0.018750 -0.982000 / -5.970592 11.631872 2.880703 / -4951.906250 6392.760742 2745.920654
0.103500 0.018750 -0.982000 / -5.974992 11.644222 2.885753 / -4957.883301 6404.411133 2748.808838
0.103500 0.018750 -0.982000 / -5.979392 11.656572 2.890803 / -4963.864746 6416.073730 2751.702148
0.103500 0.018750 -0.982000 / -5.983791 11.668922 2.895853 / -4969.850586 6427.749023 2754.600586
0.103500 0.018750 -0.982000 / -5.988191 11.681273 2.900903 / -4975.840820 6439.436523 2757.503906
0.103500 0.018750 -0.982000 / -5.992591 11.693623 2.905953 / -4981.835449 6451.136230 2760.412354
0.103500 0.018750 -0.982000 / -5.996991 11.705973 2.911003 / -4987.834473 6462.848145 2763.325928
0.103500 0.018750 -0.982000 / -6.001390 11.718323 2.916053 / -4993.837891 6474.572754 2766.244385
0.103500 0.018750 -0.982000 / -6.005790 11.730673 2.921103 / -4999.845703 6486.309570 2769.167969
0.103500 0.018750 -0.982000 / -6.010190 11.743023 2.926152 / -5005.857910 6498.058594 2772.096680
0.103500 0.018750 -0.982000 / -6.014590 11.755373 2.931202 / -5011.874512 6509.820312 2775.030518
0.103500 0.018750 -0.982000 / -6.018990 11.767723 2.936252 / -5017.895508 6521.594238 2777.969238
0.103500 0.018750 -0.982000 / -6.023389 11.780073 2.941302 / -5023.920898 6533.380371 2780.913086
0.103500 0.018750 -0.982000 / -6.027789 11.792423 2.946352 / -5029.950684 6545.179199 2783.862061
0.103500 0.018750 -0.982000 / -6.032189 11.804773 2.951402 / -5035.984863 6556.990234 2786.815918
0.103500 0.018750 -0.982000 / -6.036589 11.817123 2.956452 / -5042.023438 6568.813477 2789.774902
0.103500 0.018750 -0.982000 / -6.040988 11.829473 2.961502 / -5048.066406 6580.648926 2792.739014
0.103500 0.018750 -0.982000 / -6.045388 11.841824 2.966552 / -5054.113770 6592.497070 2795.708008
0.103500 0.018750 -0.982000 / -6.049788 11.854174 2.971602 / -5060.165527 6604.357422 2798.682129
0.103500 0.018750 -0.982000 / -6.054188 11.866524 2.976652 / -5066.221680 6616.229980 2801.661377
0.103500 0.018750 -0.982000 / -6.058588 11.878874 2.981702 / -5072.282227 6628.115234 2804.645508
0.103500 0.018750 -0.982000 / -6.062987 11.891224 2.986752 / -5078.347656 6640.012695 2807.634766
0.103500 0.018750 -0.982000 / -6.067387 11.903574 2.991802 / -5084.417480 6651.922363 2810.629150
0.103500 0.018750 -0.982000 / -6.071787 11.915924 2.996852 / -5090.491699 6663.844238 2813.628418
0.103500 0.018750 -0.982000 / -6.076187 11.928274 3.001902 / -5096.570312 6675.778809 2816.632812
0.103500 0.018750 -0.982000 / -6.080586 11.940624 3.006952 / -5102.653320 6687.725586 2819.642334
0.103500 0.018750 -0.982000 / -6.084986 11.952974 3.012002 / -5108.740723 6699.684570 2822.656982
0.103500 0.000250 -1.000500 / -6.098261 11.955500 3.002527 / -5114.845703 6711.641113 2825.654785
0.103500 0.000250 -1.000500 / -6.111537 11.958025 2.993052 / -5120.963867 6723.600586 2828.643066
0.103500 0.000250 -1.000500 / -6.124812 11.960550 2.983577 / -5127.095215 6735.562500 2831.621826
0.103500 0.000250 -1.000500 / -6.138087 11.963076 2.974102 / -5133.239746 6747.526855 2834.591309
0.103500 0.000250 -1.000500 / -6.151362 11.965601 2.964627 / -5139.397949 6759.493652 2837.551270
0.103500 0.000250 -1.000500 / -6.164637 11.968126 2.955152 / -5145.569336 6771.462891 2840.501709
0.103500 0.000250 -1.000500 / -6.177912 11.970652 2.945677 / -5151.753906 6783.434570 2843.442627
0.103500 0.000250 -1.000500 / -6.191187 11.973177 2.936202 / -5157.951660 6795.409180 2846.374023
0.103500 0.000250 -1.000500 / -6.204463 11.975702 2.926727 / -5164.162598 6807.386230 2849.295898
0.103500 0.000250 -1.000500 / -6.217738 11.978228 2.917252 / -5170.387207 6819.365723 2852.208496
0.103500 0.000250 -1.000500 / -6.231013 11.980753 2.907777 / -5176.625000 6831.347656 2855.111572
0.103500 0.000250 -1.000500 / -6.244288 11.983278 2.898302 / -5182.875977 6843.332031 2858.005127
0.103500 0.000250 -1.000500 / -6.257563 11.985804 2.888827 / -5189.140137 6855.319336 2860.889160
0.103500 0.000250 -1.000500 / -6.270838 11.988329 2.879352 / -5195.417480 6867.309082 2863.763672
0.103500 0.000250 -1.000500 / -6.284113 11.990854 2.869877 / -5201.708008 6879.301270 2866.628906
0.103500 0.000250 -1.000500 / -6.297389 11.993380 2.860402 / -5208.012207 6891.295898 2869.484619
0.103500 0.000250 -1.000500 / -6.310664 11.995905 2.850927 / -5214.329590 6903.292969 2872.330811
0.103500 0.000250 -1.000500 / -6.323939 11.998430 2.841452 / -5220.660156 6915.292480 2875.167480
